,cat,subcat,count
0,energy,rise,53
1,energy,drop,20
2,harmonic,harmonicResolution,8
3,harmonic,NCT,14
4,melodic,ornaments,51
5,melodic,descent,68
6,melodic,texture,161
7,melodic,sounds,44
8,melodic,trail,130
9,melodic,heldnote,84
10,melodic,123,20
11,melodic,highnote,109
12,melodic,ascent,70
13,contour,circles,35
14,contour,boat,47
15,contour,rainbow,77
16,other,lexical,90
17,other,asmr,5
18,other,aintimatesounds,17
19,formal,shimmer,82
20,formal,glow,19
21,formal,grandNote,7
22,formal,extremeLeaps,8
23,formal,repetition,77
24,formal,refrain,56
25,rhythmic,eachbeat,35
26,rhythmic,syncop,5
27,rhythmic,triplets,18
28,rhythmic,roll,18
29,rhythmic,doubling,16
